filename	listnumber	assignmentid	hitid	workerid	origin	timestamp	partid	questionid	answer	filename.1	Short Utterance	challengelevel	phonemes	phonemelength	noise	snr	placeholder1	placeholder2	placeholder3	id	confidence	Response
list1_p0.csv	1	NOT AVAILABLE	NOT AVAILABLE	5b780cc655f12e0001b4d85a	PROLIFIC	25-Nov-2021 18:45:03	9622	204515	"""{\""lastWord\"":\""if you put 6% they match up to 6%\"",\""confidence\"":100}"""	1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0					Ip	/projects/SFB_A4/exp_data/SUL/sent-comp_prediction_model/1637158881930335487_sent_int_pegasus/noisy_babble_5/utt_1413.wav		768896	100	if you put 6% they match up to 6%
list1_p0.csv	1	NOT AVAILABLE	NOT AVAILABLE	5e61f36dc7061b0c396928f2	PROLIFIC	26-Nov-2021 10:49:51	9622	204515	"""{\""lastWord\"":\""if you put 6 percent they match up to 6 percent\"",\""confidence\"":63}"""	1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0					Ip	/projects/SFB_A4/exp_data/SUL/sent-comp_prediction_model/1637158881930335487_sent_int_pegasus/noisy_babble_5/utt_1413.wav		769259	63	if you put 6 percent they match up to 6 percent
list1_p0.csv	1	NOT AVAILABLE	NOT AVAILABLE	5ece8a3c088813259ffc1e0f	PROLIFIC	26-Nov-2021 10:47:01	9622	204515	"""{\""lastWord\"":\""if you XXX 6 percent they match up to 6 percent\"",\""confidence\"":35}"""	1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0					Ip	/projects/SFB_A4/exp_data/SUL/sent-comp_prediction_model/1637158881930335487_sent_int_pegasus/noisy_babble_5/utt_1413.wav		769188	35	if you XXX 6 percent they match up to 6 percent
list1_p0.csv	1	NOT AVAILABLE	NOT AVAILABLE	5fb46dd5d9ece50422838e7a	PROLIFIC	25-Nov-2021 18:32:51	9622	204515	"""{\""lastWord\"":\""If you put 6 %, they match up to 6%.\"",\""confidence\"":51}"""	1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0					Ip	/projects/SFB_A4/exp_data/SUL/sent-comp_prediction_model/1637158881930335487_sent_int_pegasus/noisy_babble_5/utt_1413.wav		768826	51	If you put 6 %, they match up to 6%.
list1_p0.csv	1	NOT AVAILABLE	NOT AVAILABLE	60e1a626ddf351245640baae	PROLIFIC	26-Nov-2021 10:59:25	9622	204515	"""{\""lastWord\"":\""If you put six percent they match up to six percent.\"",\""confidence\"":91}"""	1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0					Ip	/projects/SFB_A4/exp_data/SUL/sent-comp_prediction_model/1637158881930335487_sent_int_pegasus/noisy_babble_5/utt_1413.wav		769318	91	If you put six percent they match up to six percent.
list1_p0.csv	1	NOT AVAILABLE	NOT AVAILABLE	donlou185	PROLIFIC	26-Nov-2021 11:03:19	9622	204515	"""{\""lastWord\"":\""if you put 6% they match up to 6%\"",\""confidence\"":99}"""	1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_1413.wav	if you put six percent they match up to six percent	ne_0					Ip	/projects/SFB_A4/exp_data/SUL/sent-comp_prediction_model/1637158881930335487_sent_int_pegasus/noisy_babble_5/utt_1413.wav		769360	99	if you put 6% they match up to 6%
list1_p0.csv	1	NOT AVAILABLE	NOT AVAILABLE	5b780cc655f12e0001b4d85a	PROLIFIC	25-Nov-2021 18:45:03	9622	204516	"""{\""lastWord\"":\""i've heard of a couple of companies that have done that\"",\""confidence\"":100}"""	1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_961.wav	i heard of a couple of companies that have done that	ne_0					Ip	/projects/SFB_A4/exp_data/SUL/sent-comp_prediction_model/1637158881930335487_sent_int_pegasus/noisy_babble_5/utt_961.wav		768881	100	i've heard of a couple of companies that have done that
list1_p0.csv	1	NOT AVAILABLE	NOT AVAILABLE	5e61f36dc7061b0c396928f2	PROLIFIC	26-Nov-2021 10:49:51	9622	204516	"""{\""lastWord\"":\""I heard of a couple of company's that have done that\"",\""confidence\"":84}"""	1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_961.wav	i heard of a couple of companies that have done that	ne_0					Ip	/projects/SFB_A4/exp_data/SUL/sent-comp_prediction_model/1637158881930335487_sent_int_pegasus/noisy_babble_5/utt_961.wav		769256	84	I heard of a couple of company's that have done that
list1_p0.csv	1	NOT AVAILABLE	NOT AVAILABLE	5ece8a3c088813259ffc1e0f	PROLIFIC	26-Nov-2021 10:47:01	9622	204516	"""{\""lastWord\"":\""i heard of a couple of companies that have done that\"",\""confidence\"":76}"""	1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_961.wav	i heard of a couple of companies that have done that	ne_0					Ip	/projects/SFB_A4/exp_data/SUL/sent-comp_prediction_model/1637158881930335487_sent_int_pegasus/noisy_babble_5/utt_961.wav		769189	76	i heard of a couple of companies that have done that
list1_p0.csv	1	NOT AVAILABLE	NOT AVAILABLE	5fb46dd5d9ece50422838e7a	PROLIFIC	25-Nov-2021 18:32:51	9622	204516	"""{\""lastWord\"":\""I heard of a couple of companies that have done that.\"",\""confidence\"":77}"""	1637158881930335487_sent_int_pegasus_noisy_babble_5_utt_961.wav	i heard of a couple of companies that have done that	ne_0					Ip	/projects/SFB_A4/exp_data/SUL/sent-comp_prediction_model/1637158881930335487_sent_int_pegasus/noisy_babble_5/utt_961.wav		768827	77	I heard of a couple of companies that have done that.
